episode,steps,final_battery,total_reward,loss
1,720,79.38663561220723,-13.084834577526596,
2,720,77.68946242730753,-13.017670236877139,
3,720,78.77526714158091,-5.582801559631129,
4,720,79.1170370993772,-16.904725960302166,
5,720,79.03908320951759,-9.419827245203106,211.57315063476562
6,720,78.24830193727624,-21.98501804180316,
7,720,77.74656488523456,-20.572907115848917,
8,720,79.05180835086803,-27.806964872502487,
9,720,78.50380834039954,-24.575282852550306,
10,720,78.59528548599287,-17.746373611628297,197.70840454101562
11,720,77.66973996098496,-27.712170186243117,
12,720,78.20399841094937,-20.585808259882565,
13,720,78.78387613681166,-23.849953008258744,
14,720,77.26216022384878,-26.4261369905346,
15,720,77.60235393986422,-25.048549710734658,188.06390380859375
16,720,78.24295849799245,-23.653256384398116,
17,720,78.63471499639031,-11.86178483627058,
18,720,78.41168163748118,-32.192333652769946,
19,720,78.01832484252562,-16.831909566594398,
20,720,78.18103766944785,-19.919408704673526,179.61865234375
21,720,78.37366214531731,-7.042627224990751,
22,720,78.47272203210035,-6.292519502602876,
23,720,78.01427113974133,-15.981412163670694,
24,720,77.92262998721196,-9.478960711691531,
25,720,78.0796575870895,-3.758617562771965,184.51602172851562
26,720,78.10953248987246,-8.235052740678341,
27,720,77.4322216814224,-5.223705482364261,
28,720,77.83344512227505,-5.9685931773048315,
29,720,78.93304224413349,-10.014234950542088,
30,720,78.2540842911266,-9.184151242858361,182.59033203125
31,720,77.87567455196387,-4.0401933061631246,
32,720,78.19541145833779,-4.017774223510932,
33,720,78.44268345243901,-4.167598164114247,
34,720,77.5713397835019,-0.9570508038923298,
35,720,78.51752066386047,5.62587715976375,179.49966430664062
36,720,78.00500153795329,8.106544246992152,
37,720,77.56927448287846,0.0346363388494276,
38,720,77.68642321225356,-2.0820392859297248,
39,720,77.97878298880521,-11.617718176546449,
40,720,78.22535647155544,-2.120171778166122,179.19580078125
41,720,77.73552686445665,-3.138229037445061,
42,720,77.9996895076873,-0.6659661578136401,
43,720,78.07070664464587,3.5239694452334187,
44,720,78.01971563970439,-6.332987363326167,
45,720,78.25869809379982,-3.6473878539478726,175.23995971679688
46,720,78.09448713186094,-2.859051409930465,
47,720,78.24147957114232,-5.181945840267402,
48,720,77.6813166360384,2.162436619417755,
49,720,78.41637953126522,2.7383207608829156,
50,720,77.67415419767397,-1.766091386952259,173.73133850097656
51,720,78.11554976999444,6.992275710154302,
52,720,77.76988439380926,9.959363437171493,
53,720,78.07338217350274,1.1961681074022628,
54,720,78.51668368870631,4.631118378094462,
55,720,78.18257445083123,8.699268146019286,167.47071838378906
56,720,77.58723402611959,3.3179052405429164,
57,720,77.84768794951297,2.850702243175715,
58,720,78.09652446356971,3.415769134377872,
59,720,78.22049788735131,0.13925187487945775,
60,720,77.55750094863309,-2.4954806630818047,167.8182830810547
61,720,78.24917564558672,13.656861750905403,
62,720,77.93337690871395,4.254211725628002,
63,720,78.13020570294552,14.129285302153164,
64,720,77.69758339462444,18.806691594738606,
65,720,78.08287148228396,12.675546844228919,178.9537811279297
66,720,78.12938948195696,21.240905208073237,
67,720,77.76670603497531,15.384737686174068,
68,720,77.79764609624424,9.84237396766261,
69,720,78.4272002269835,23.14641432404155,
70,720,78.58335252333406,21.041114140813193,179.77609252929688
71,720,77.99222633047485,16.526958016063706,
72,720,78.38206273195411,21.409784319004416,
73,720,78.33733320263822,19.591016335571954,
74,720,77.9357204535293,21.56334517028296,
75,720,77.9715724839809,22.700350649988113,178.8779754638672
76,720,78.12580577367753,30.304952143857044,
77,720,78.49404632262159,30.818747138235825,
78,720,78.59898760586005,22.989541116193767,
79,720,78.52912696178593,31.033828056504323,
80,720,78.70706196075152,29.635577804483162,187.57972717285156
81,720,78.49140129023223,31.11374405268726,
82,720,78.57511328231114,33.30852593197555,
83,720,78.5132053392154,26.6569532557185,
84,720,77.97230702245616,31.993979893112815,
85,720,78.76510835439353,31.906137139243697,191.0811004638672
86,720,78.07895751856101,30.928065798648333,
87,720,78.4741378157473,36.33512319026097,
88,720,78.23655086779928,34.62005242980813,
89,720,78.16276141679555,34.05458672543909,
90,720,78.69244439974938,31.76759996217667,193.08013916015625
91,720,78.34490098354347,33.401593474962056,
92,720,78.65269082210534,35.555492306763874,
93,720,78.12888782149034,30.62233280071261,
94,720,78.38836428380199,36.660022725547975,
95,720,78.49147844284694,35.95437335627285,191.5212860107422
96,720,78.47777493916156,29.720870318307917,
97,720,78.6574009207493,34.193396201701596,
98,720,78.37786441014279,36.15701857914546,
99,720,77.86935790671708,36.67350448378635,
100,720,78.19859743045168,33.01080714037533,191.7474822998047
101,720,78.29920894564589,35.67910225430238,
102,720,78.63389537453403,34.140038999481156,
103,720,78.7390192607148,33.43233665587067,
104,720,78.16459444623945,25.488842074417256,
105,720,78.56397131322686,33.964500005206624,192.18724060058594
106,720,78.45682676533062,38.432148992730895,
107,720,78.62086426094444,31.42181115124629,
108,720,78.6374764547387,33.84516324424372,
109,720,77.35870911036662,35.18049334475747,
110,720,78.89297226082685,33.029745658396266,190.69833374023438
111,720,77.91083545340595,35.12815526501063,
112,720,77.96667791746195,37.243564113558115,
113,720,78.33473273189136,41.55629398167161,
114,720,78.95611107827003,36.07083356935819,
115,720,78.31606099743195,40.47883398716069,191.22085571289062
116,720,78.02295072352946,36.9411716411222,
117,720,78.1196325180683,30.125327841252354,
118,720,78.40707957728617,29.184988477592373,
119,720,78.01205263711714,33.88796177112119,
120,720,78.4195043908066,37.12542983718098,188.01560974121094
121,720,78.87845063751246,33.28834841779911,
122,720,78.44132723597909,36.87010414797841,
123,720,78.96737530911892,38.782401673794475,
124,720,78.31760431634332,39.9931964673571,
125,720,78.63143539477481,32.13433805029954,190.59481811523438
