episode,step,x_before,y_before,target_x,target_y,x_after,y_after,battery_before,battery_after,battery_delta,reward,directional_reward,battery_reward,movement_penalty,action_dx_norm,action_dy_norm,solar_w,exposure_score,idle_mAh,motion_mAh,path_m,turn_integral
1,0,253.68528924000688,213.9291626330588,252.12413368237443,216.86816276275852,252.30103399149834,216.6064007541305,34.20138095891735,33.8628015625778,-0.33857939633954715,-0.015807626557770994,-0.007272946718240981,-0.007781197650376591,0.0007534821891534229,-0.07805778086185455,0.14695000648498535,1.5444738778935159,0.12186766834008715,16.08666666666685,2.3588296990081137,3.1094019902966945,2.764930817313353
1,1,252.30103399149834,216.6064007541305,253.3251632630056,218.46262660232844,253.19674376436248,218.31034792340236,33.8628015625778,33.51787211190058,-0.3449294506772205,-0.016341011680341928,-0.00798264172115919,-0.00787711301424104,0.00048125694494170057,0.05120646581053734,0.09281129390001297,0.6934264019774261,0.0890111064523495,16.08666666666685,1.648629548768388,2.06537760343519,1.4535285015132287
1,2,253.19674376436248,218.31034792340236,255.01505760141387,219.2595433083816,254.8225480138358,219.16332173222335,33.51787211190058,33.18078194863309,-0.3370901632674901,-0.016587688541271736,-0.008157278672101177,-0.007971416148071068,0.0004589937210994927,0.09091569483280182,0.04745976999402046,0.8066170945205132,0.08546402302959866,16.086666666666652,1.4016210901174948,1.8382394105995792,0.40668419593576693
1,3,254.8225480138358,219.16332173222335,256.8160108148154,219.84269010895522,256.6197685178452,219.77581110289938,33.18078194863309,32.845990545250054,-0.33479140338303637,-0.017007207348536838,-0.008466895282165127,-0.008065631596922591,0.0004746804694491164,0.09967313706874847,0.03396841883659363,0.905764930402447,0.07470243574222828,16.08666666666656,1.4094373883737052,1.8987218777964725,0.13505580781874282
1,4,256.6197685178452,219.77581110289938,256.638018774622,221.15238323500998,256.8410582882834,220.86068539049327,32.845990545250054,32.51674607600909,-0.32924446924096173,-0.01671595631622093,-0.008280327100266735,-0.008158825880716099,0.0002768033352380969,0.0009125128271989524,0.06882860511541367,0.7994975366822081,0.0893349867354123,16.086666666666535,1.0105788595418232,1.224369943115071,2.0765707492979044
1,5,256.8410582882834,220.86068539049327,258.79105809754856,221.0724276426047,258.48587642372263,221.09830708305384,32.51674607600909,32.17418139733735,-0.34256467867174223,-0.017223254106165785,-0.0085514219156512,-0.008256358758192714,0.0004154734323218717,0.09749998897314072,0.010587112978100777,0.6278778360679794,0.08536337264767983,16.086666666666744,1.4570357309002173,1.7835846212909612,2.4489174433843024
1,6,258.48587642372263,221.09830708305384,258.7917892462076,221.61556972066904,258.69972291210627,221.13660271256583,32.17418139733735,31.86310491555666,-0.31107648178068814,-0.016773568161040562,-0.008373827488083577,-0.008345428568048334,5.431210490865111e-05,0.015295641496777534,0.025863131508231163,0.8354081548697513,0.10138063124230223,16.086666666666726,0.16570908350006525,0.21724841963462263,1.6761009125011381
1,7,258.69972291210627,221.13660271256583,259.69451394299006,221.2780646660866,259.5099143020848,221.50850213610116,31.86310491555666,31.544122286131376,-0.3189826294252853,-0.017063189410830012,-0.008403063470859302,-0.008437258368638926,0.00022286757133178098,0.04973955079913139,0.00707309739664197,1.0259635202629642,0.10756021194269608,16.086666666666545,0.7845691597060755,0.9735520940353195,2.4360998571500696
1,8,259.5099143020848,221.50850213610116,258.82016786262784,222.16558648191872,258.8059398270048,221.83870334403824,31.544122286131376,31.241696888133326,-0.30242539799805,-0.016648699111465746,-0.007929521325081176,-0.008524785640953094,0.0001943921454314758,-0.034487321972846985,0.032854218035936356,1.6007723110646275,0.14806728334729088,16.086666666666563,0.6704600163556367,0.816133328940053,3.9934888425549055
1,9,258.8059398270048,221.83870334403824,260.4141954517759,221.90347960071873,260.1151044491611,221.98467959685476,31.241696888133326,30.957756164528817,-0.28394072360450906,-0.01705084273813657,-0.008114149047204457,-0.008607374215128985,0.00032931947580313003,0.08041278272867203,0.0032388127874583006,2.8102801114924505,0.13982539641175723,16.08666666666667,1.2323280763421873,1.4615284912542161,2.1345940145627993
